Battery_Voltage_V,Battery_Temperature_C,State_of_Charge_Percent,Charge_Discharge_Cycles,Current_A,Battery_Age_Months,Internal_Resistance_mOhm,Ambient_Temperature_C,Battery_Health_Percent
380.73,60.75,63.72,641,-130.1,63.2,43.59,29.9,76.2
362.06,26.48,29.37,945,0.02,66.5,49.18,23.11,78.82
357.32,42.04,7.39,1020,-38.0,81.5,52.12,38.4,72.43
360.86,23.25,26.18,154,-22.54,24.0,34.88,26.32,95.09
386.09,44.1,69.15,282,-69.85,47.0,40.37,31.64,84.7
399.51,49.46,93.0,256,-95.87,21.2,32.66,29.1,88.55
365.1,50.09,35.49,1000,-127.68,94.8,55.79,17.86,72.28
395.23,70.0,88.19,1017,-116.92,90.6,55.44,41.49,65.43
368.58,50.02,42.52,0,-122.09,3.8,33.38,21.48,94.17
366.62,43.38,34.29,797,-61.44,67.7,47.93,36.09,78.91
375.29,43.69,53.34,923,-43.1,88.8,53.07,35.29,77.22
371.42,49.34,47.02,237,-132.82,17.3,37.06,13.01,88.84
396.38,28.77,91.81,432,14.16,54.5,41.09,26.2,85.63
371.1,37.42,49.48,661,-31.5,87.9,50.78,33.8,78.56
368.46,44.65,31.35,56,105.63,3.3,29.57,25.1,99.86
389.28,35.59,85.04,669,-64.31,67.0,47.77,26.72,85.62
396.14,48.25,99.88,302,93.98,28.5,38.08,30.17,91.68
382.53,26.66,66.58,1132,4.76,88.7,52.84,24.24,77.71
363.28,70.0,28.79,894,-157.56,93.2,53.95,31.57,68.45
364.91,55.84,27.69,925,-111.44,90.6,51.97,28.43,69.96
355.5,25.96,10.48,141,-20.92,45.5,37.92,26.03,93.14
351.29,57.39,12.34,429,-144.86,82.8,48.34,18.29,74.32
398.92,50.64,91.92,510,-93.78,81.1,49.41,32.06,77.74
356.25,40.47,14.17,254,-135.54,30.6,37.96,3.91,91.29
376.23,44.12,51.01,501,88.32,79.6,46.97,30.62,79.16
392.27,28.1,71.32,29,25.92,3.6,32.23,28.15,99.87
396.75,27.03,85.78,358,-60.34,57.2,41.52,19.87,87.48
361.27,19.77,21.27,86,50.74,22.1,35.96,14.11,90.56
369.18,33.59,46.59,92,35.47,11.6,31.42,32.18,98.3
360.38,28.48,28.89,0,38.62,7.4,30.67,25.53,100.0
368.14,40.06,29.3,695,-73.56,66.8,45.12,29.39,80.44
365.73,17.03,33.86,355,-58.53,32.6,38.28,9.63,91.83
379.88,53.2,60.78,629,-105.8,69.6,49.75,32.77,82.84
349.85,40.39,6.57,31,-46.82,6.3,34.3,37.4,97.18
373.25,44.92,43.83,282,-88.75,30.3,40.62,26.47,87.55
364.8,40.33,22.75,458,-104.45,51.8,41.07,19.03,86.58
403.01,34.85,96.88,847,27.9,75.9,55.27,32.34,80.28
378.84,22.72,60.36,367,0.3,30.6,40.63,25.16,91.16
395.67,56.29,87.47,684,-92.94,60.1,47.89,36.63,77.73
361.51,31.07,23.59,683,16.73,85.1,50.08,28.21,77.57
393.62,8.1,81.95,638,-21.47,59.1,42.12,6.58,85.67
372.19,10.22,44.4,198,-58.92,22.4,34.08,4.51,92.55
358.47,24.17,21.88,0,55.45,2.3,29.52,20.9,97.41
392.62,38.02,77.32,1039,-21.68,83.5,52.62,32.53,75.4
388.99,31.15,77.39,136,66.65,2.0,30.81,23.08,99.2
398.75,30.13,99.61,1070,-6.05,84.0,53.24,32.92,73.9
390.13,20.19,79.19,427,-0.89,50.8,42.85,21.38,87.89
357.19,70.0,18.8,1181,-104.55,90.2,55.49,48.63,62.99
369.07,34.41,35.64,769,-73.43,76.7,48.8,26.12,84.97
373.37,34.01,47.91,516,47.45,95.8,49.0,30.69,77.58
356.13,17.3,17.03,344,29.72,33.7,41.33,18.41,91.32
397.06,34.27,79.86,600,-61.5,73.7,46.28,23.82,80.39
374.5,62.14,55.04,169,-121.18,38.6,39.03,32.94,85.37
398.42,31.73,94.72,534,59.59,46.1,42.3,27.54,83.36
380.66,-0.46,60.98,432,24.0,60.2,39.63,0.18,90.7
374.26,55.32,54.68,1002,-108.67,83.9,57.24,32.99,76.38
354.88,57.76,11.79,682,-108.67,94.5,53.45,34.09,75.04
355.57,43.29,19.19,397,70.01,73.8,49.56,35.31,81.96
399.05,48.19,85.7,548,-70.46,40.1,43.26,38.99,83.47
398.75,38.16,99.11,295,-69.39,40.5,39.13,29.81,87.34
371.67,60.19,44.44,673,-80.83,70.8,48.5,50.0,73.25
396.81,29.2,81.96,231,-18.67,22.9,34.79,30.34,93.42
379.84,34.19,64.62,53,-124.02,10.6,30.42,4.97,98.28
401.94,29.12,96.11,377,-25.74,34.0,43.06,30.24,89.88
365.59,67.27,27.62,161,-124.4,27.6,35.17,39.21,84.91
372.44,43.78,56.76,319,-123.98,28.4,37.73,14.22,89.96
370.8,56.76,43.84,303,-121.94,22.4,37.33,25.29,89.02
379.54,68.46,56.46,19,-119.63,4.0,30.33,40.13,93.45
365.38,16.01,30.54,0,3.34,1.7,32.18,22.35,96.22
376.26,27.67,52.29,1094,3.36,94.8,54.96,25.62,80.07
380.36,39.37,64.36,380,-49.76,41.1,47.0,35.81,89.89
354.22,30.19,12.72,473,-77.89,36.9,36.45,15.18,92.34
386.87,33.18,75.58,724,42.91,65.2,45.7,27.88,82.57
391.94,17.67,72.12,285,1.69,21.0,38.14,18.28,93.12
391.6,49.45,88.64,1194,-110.72,91.2,52.47,25.32,73.39
371.28,28.81,45.46,590,-18.97,75.5,47.62,30.37,82.86
355.52,40.88,10.86,35,-22.06,8.6,30.98,38.6,91.9
370.03,34.38,48.84,409,3.11,40.1,39.87,31.12,89.04
360.33,52.11,18.07,894,124.94,84.4,54.02,22.35,72.37
379.39,54.65,66.51,550,-89.11,90.7,49.39,39.97,77.77
351.48,38.19,9.48,153,-6.73,44.9,36.76,34.15,87.57
366.86,13.71,40.53,394,49.76,58.9,44.81,8.58,92.45
351.51,41.29,12.87,245,63.09,16.0,35.32,36.38,92.36
356.46,27.62,5.32,986,-29.17,95.2,51.37,28.65,74.06
399.69,59.14,96.25,129,-118.46,22.2,33.29,27.67,88.59
402.58,70.0,99.63,600,-147.69,90.5,49.41,39.9,72.3
381.38,24.04,57.77,497,9.59,62.4,45.86,25.96,88.65
363.35,38.37,27.7,400,-19.45,58.3,42.49,36.94,85.97
395.69,41.2,91.55,294,-32.31,49.2,42.24,40.77,87.42
399.39,25.84,92.69,243,-23.04,22.1,35.89,28.62,94.67
398.0,32.48,86.18,232,18.71,16.9,33.51,32.47,92.55
374.58,35.03,56.72,133,-7.22,21.2,34.62,34.94,94.51
363.61,30.06,12.1,43,-16.8,17.9,34.58,32.62,96.75
352.75,45.81,13.4,504,-75.61,74.8,45.89,36.89,79.25
393.7,16.55,90.18,257,22.37,33.6,35.41,17.56,89.31
394.32,32.32,88.2,137,-74.64,5.6,32.6,21.59,96.5
373.63,16.31,46.27,650,18.06,93.0,48.64,15.4,82.05
373.98,50.05,36.17,597,-63.56,84.8,51.69,44.86,79.72
386.13,10.12,66.19,998,-4.63,89.1,55.62,11.24,77.07
392.07,48.93,81.66,1087,65.82,95.5,54.73,41.21,71.11
390.36,29.25,74.51,216,-0.37,16.7,35.57,32.72,94.87
382.78,23.73,63.48,351,44.98,38.0,39.04,19.24,91.88
361.47,24.24,26.99,942,-62.29,72.8,53.35,15.29,79.25
366.43,30.59,29.94,953,-34.23,66.8,46.33,27.62,82.89
387.1,30.62,73.79,108,-61.28,14.8,33.69,25.76,92.05
388.1,70.0,81.25,595,-139.58,78.3,45.8,31.95,74.57
361.8,6.97,16.03,118,24.12,21.5,35.26,6.01,94.8
361.23,28.15,22.79,132,-5.87,21.5,30.77,26.11,96.01
381.46,20.4,69.64,449,-10.12,51.5,42.88,19.23,85.09
368.09,43.69,41.95,507,33.91,56.9,47.49,40.77,83.0
380.86,54.91,58.51,541,-108.12,55.7,42.67,32.09,81.91
384.85,54.86,63.41,0,-122.52,8.8,28.3,22.92,95.25
390.81,42.3,78.74,758,34.48,84.2,51.53,42.21,77.55
392.23,25.03,81.54,235,-44.22,25.5,35.54,23.64,94.88
363.37,33.91,31.61,157,-27.11,12.4,35.32,26.96,96.71
378.49,59.6,56.42,875,-128.03,85.3,53.75,30.71,70.28
357.38,39.38,16.73,557,48.33,91.7,51.4,37.09,81.56
391.91,29.73,84.99,462,0.28,82.8,46.98,28.12,81.11
392.32,50.06,85.32,758,-74.54,77.7,52.89,42.2,77.79
364.75,39.95,33.45,313,85.14,62.9,44.16,23.98,83.07
362.38,50.32,20.26,196,-121.81,52.9,38.45,18.19,82.96
352.8,53.76,11.66,77,-59.77,8.4,30.72,43.93,90.66
375.92,25.74,59.62,372,19.22,39.2,42.21,24.87,91.67
354.49,33.29,13.69,321,29.2,35.8,39.91,33.93,88.75
387.48,67.44,69.66,82,-129.59,24.9,33.12,35.68,88.25
385.73,57.86,69.42,682,-57.0,69.4,46.52,48.83,76.83
376.31,21.34,63.33,383,4.75,47.6,40.85,25.03,87.28
395.93,39.61,88.27,189,48.38,7.8,34.69,33.28,93.95
370.32,20.71,40.94,184,43.34,21.1,34.56,20.17,96.86
394.11,23.01,90.72,689,2.03,65.6,49.35,23.19,86.3
353.53,21.57,8.51,82,-34.62,7.3,32.64,20.42,99.55
353.86,40.74,15.71,1011,-50.76,81.7,55.09,36.47,77.58
372.6,40.09,44.16,284,-10.11,47.5,37.68,37.2,88.37
376.91,34.85,61.43,669,46.04,46.1,46.61,31.69,84.56
352.99,27.91,8.08,245,-52.84,56.9,43.32,20.24,88.8
378.41,26.41,58.91,1031,-56.39,79.2,52.34,21.49,81.75
369.41,23.15,34.2,212,28.72,33.4,36.08,20.98,91.68
394.76,32.44,89.28,496,23.7,65.1,47.33,31.57,85.12
379.95,19.24,55.66,348,-69.99,54.3,40.71,12.19,89.87
376.84,49.71,60.85,76,-119.13,25.6,34.59,24.03,90.24
397.09,54.87,94.83,955,-142.81,84.3,53.21,14.61,75.18
390.39,34.35,77.6,1032,-32.19,76.6,49.53,33.06,79.28
377.04,42.03,46.64,625,-106.28,63.2,45.36,18.09,82.51
371.73,44.25,50.3,938,13.78,81.7,49.79,47.58,76.58
380.75,70.0,66.55,953,-143.0,83.3,48.91,38.45,71.83
363.53,34.43,24.02,528,56.82,68.0,49.65,27.11,82.78
361.55,38.89,13.42,318,-60.21,80.4,43.92,32.13,82.16
368.14,45.24,34.57,285,-87.92,67.0,44.14,32.68,84.69
386.14,29.62,78.95,496,-72.47,65.3,48.95,18.4,86.56
361.45,58.97,29.45,263,-91.89,59.4,40.27,40.38,83.1
359.12,30.23,17.42,311,50.88,72.3,41.43,27.04,82.41
363.98,22.25,25.81,52,0.3,15.2,36.33,20.32,96.77
384.09,34.56,69.5,523,-34.19,84.6,46.05,33.42,82.26
378.43,41.22,63.33,1030,-112.17,83.7,52.04,16.77,76.99
388.5,37.24,70.39,0,-43.3,2.8,29.28,34.56,95.79
366.75,48.33,35.59,781,-86.24,79.3,50.01,31.43,77.88
396.87,70.0,90.58,41,-197.86,12.4,28.62,21.5,87.16
368.64,52.43,47.92,199,-81.62,32.2,38.06,37.56,87.6
380.5,34.11,53.8,367,-3.69,71.4,45.3,35.05,87.97
395.51,34.1,95.14,41,-65.57,15.4,34.46,24.78,96.54
403.05,35.96,98.03,319,-48.7,78.5,46.66,33.39,84.43
385.76,17.69,67.85,673,22.46,79.9,49.62,14.68,83.24
393.09,32.58,94.76,346,11.72,48.7,40.15,32.92,90.63
378.96,27.97,56.44,45,77.66,0.6,30.66,13.41,94.01
372.07,70.0,34.19,351,-171.61,27.6,,29.28,84.67
365.67,51.48,34.93,612,-90.54,59.2,45.39,34.89,82.84
384.02,36.38,58.1,686,14.49,94.2,49.4,31.38,78.96
382.4,45.42,62.48,507,-14.12,60.7,44.44,43.53,79.03
377.4,22.77,46.76,275,-34.03,24.9,35.61,20.07,92.55
394.96,41.29,88.96,357,-76.29,60.9,41.06,32.09,83.03
372.4,6.56,45.54,604,-26.41,51.8,45.91,6.68,86.67
371.0,26.23,30.98,761,-29.87,74.9,50.42,22.88,82.14
355.04,69.98,5.76,0,-151.12,10.3,31.65,24.97,90.79
397.9,44.74,97.2,556,-27.18,73.1,43.03,43.67,83.96
392.93,35.69,83.31,478,-71.02,52.0,40.82,27.76,91.97
380.04,38.16,63.48,500,10.46,92.4,48.72,37.13,78.67
392.27,19.91,83.9,117,-19.32,32.8,37.04,18.96,94.08
394.58,38.06,81.98,371,77.35,60.7,43.8,24.67,85.62
396.28,25.31,93.53,587,-40.0,89.5,49.76,19.63,80.25
368.21,41.21,41.68,93,-105.48,9.8,32.47,18.06,95.46
375.95,70.0,57.71,1034,-189.32,90.0,53.4,18.75,68.91
357.41,37.38,14.37,416,-96.3,66.0,42.81,21.86,89.6
395.93,50.49,96.7,126,-17.36,6.5,35.55,48.43,93.52
395.0,27.66,98.59,445,-2.03,28.9,40.85,27.42,89.2
386.39,29.62,79.96,876,-76.31,68.0,50.13,14.47,79.14
377.6,31.47,48.14,65,-65.81,6.5,29.35,22.76,96.8
375.66,37.27,52.17,426,-35.8,55.9,40.28,38.17,87.87
373.35,19.04,46.36,185,-17.2,33.2,36.77,20.98,93.67
363.53,42.28,32.86,544,21.2,59.6,43.36,42.88,80.84
375.83,53.11,55.14,0,-75.25,4.4,28.38,38.3,92.2
353.2,42.69,10.08,1076,-84.56,83.7,53.52,26.06,76.81
398.78,33.65,99.23,1348,81.49,93.5,53.73,21.44,76.1
367.67,27.08,45.28,813,66.99,93.0,51.9,18.49,74.64
399.82,37.5,93.1,494,-71.77,72.0,46.76,29.92,83.58
386.85,30.99,73.81,70,28.55,12.5,33.53,32.15,98.88
366.88,60.67,32.54,321,92.28,72.8,40.52,41.4,78.79
365.79,36.49,26.09,71,39.02,2.4,27.36,31.57,99.99
402.31,38.64,99.59,23,-85.77,2.1,30.12,24.48,100.0
387.45,47.7,78.35,331,-33.71,31.1,36.71,41.74,90.26
366.17,70.0,28.72,358,-145.11,46.9,38.18,36.19,81.13
357.49,40.71,11.41,986,-97.9,74.0,46.65,21.12,76.3
386.55,30.95,71.21,696,-40.92,65.6,45.03,27.17,87.52
370.08,33.92,33.79,569,-26.81,42.8,41.91,34.6,85.68
365.41,46.25,26.03,105,-81.58,26.3,34.52,31.05,92.38
389.59,70.0,74.82,1260,-205.1,95.7,54.55,17.92,63.52
388.86,31.85,69.53,346,-28.39,40.9,37.59,29.76,88.67
375.45,19.03,50.73,297,3.69,43.3,38.79,21.24,93.78
397.45,30.88,94.55,2,5.97,15.7,30.72,28.63,100.0
387.24,16.88,69.57,940,-52.35,76.3,51.49,15.0,77.94
394.4,22.17,89.87,397,-48.11,66.6,45.08,19.09,87.55
363.0,51.42,23.1,225,-25.21,21.2,36.34,48.99,89.06
364.91,23.4,33.18,31,-15.47,7.9,29.3,23.74,96.56
350.63,41.32,14.93,659,-45.61,65.3,47.06,39.13,79.74
368.76,70.0,33.94,763,-179.38,62.8,47.77,26.74,72.92
394.01,22.08,97.32,229,43.82,26.2,39.2,15.97,94.15
396.14,28.54,96.47,824,-67.86,91.3,55.88,17.2,82.61
391.08,46.47,77.24,171,-113.43,14.5,36.36,20.07,93.88
379.75,57.61,54.5,399,-63.56,41.5,39.3,49.46,84.05
393.11,31.38,79.17,1147,-33.3,90.6,53.51,25.69,75.86
372.73,44.4,57.58,318,-76.54,40.3,38.82,29.81,84.46
353.55,45.13,5.33,340,-72.4,61.3,41.45,34.82,83.19
375.55,45.54,52.65,328,-59.48,38.2,43.19,33.05,89.21
383.91,37.07,61.9,277,-18.29,26.3,38.63,36.65,93.46
369.55,38.98,30.25,533,-87.94,94.5,50.75,22.75,76.5
358.23,19.72,24.31,228,-19.75,39.3,39.78,16.16,91.41
365.55,49.47,31.01,447,-122.82,85.8,50.08,18.55,75.58
384.62,25.07,64.24,119,80.35,22.1,35.74,12.68,96.93
358.42,24.75,18.88,203,24.34,20.5,34.72,22.8,96.02
391.95,-2.89,73.43,2,-56.48,3.0,31.95,-9.26,96.47
371.37,31.78,45.15,749,-19.91,62.6,48.34,35.25,84.51
368.38,59.97,38.57,495,-110.09,35.4,38.03,33.72,84.85
387.62,17.08,81.69,604,-6.29,83.0,53.29,18.25,83.24
377.0,12.16,53.08,559,10.72,45.4,41.18,14.23,87.92
361.42,46.84,40.95,1414,-24.02,92.9,61.17,43.28,69.84
393.47,38.82,88.42,236,14.14,17.8,34.72,37.66,94.98
373.8,30.05,39.98,623,-40.42,83.4,51.05,25.43,77.57
389.11,25.24,86.61,453,-46.08,74.6,45.83,21.25,86.33
371.59,41.5,52.9,482,-79.59,74.0,43.03,28.38,78.7
365.73,13.08,24.76,966,-6.65,81.1,53.96,13.59,77.95
385.36,45.48,63.22,785,-90.19,73.1,51.76,30.93,77.35
361.99,17.81,32.11,610,-15.14,60.1,45.11,15.98,86.79
364.69,5.52,18.98,111,-21.81,12.6,34.71,4.09,96.71
357.91,26.61,13.22,10,40.64,3.1,29.18,19.86,100.0
367.13,13.43,27.96,876,-4.99,88.4,52.14,17.85,78.07
385.11,70.0,74.97,602,-145.41,59.2,47.12,46.07,76.86
396.77,56.71,84.61,822,-79.81,76.5,50.45,44.75,75.49
392.63,29.11,86.86,376,-81.37,46.2,41.72,16.84,90.15
364.4,42.25,30.66,94,-83.91,11.3,34.68,27.0,93.44
385.34,20.31,67.79,74,18.0,12.0,35.92,21.44,96.66
362.27,70.0,26.88,326,-172.2,65.8,45.39,46.38,77.09
377.52,15.12,64.16,256,45.47,41.3,39.42,9.8,90.1
395.04,32.37,89.29,137,19.91,19.3,34.23,32.65,95.23
353.49,41.03,8.88,432,-28.85,47.2,41.78,40.78,86.95
396.99,21.85,98.6,0,-19.05,6.2,28.36,22.54,99.6
395.51,31.46,83.57,287,-35.5,55.9,41.79,28.24,86.77
395.86,37.98,77.36,291,-30.49,25.8,34.5,38.53,91.38
382.58,19.96,70.68,465,27.58,76.6,45.39,16.93,84.92
389.68,44.3,78.18,291,-53.42,29.8,38.88,34.37,88.33
398.55,12.55,99.49,392,-3.98,43.7,39.69,12.52,90.58
395.95,29.95,78.17,79,-92.28,1.1,33.78,12.05,97.65
370.68,37.17,38.4,53,-8.05,7.0,31.49,36.51,97.07
384.44,22.82,63.32,259,-56.36,37.7,40.65,18.33,93.15
372.05,30.84,37.01,569,-14.32,46.1,42.05,29.79,87.2
398.97,33.55,97.16,724,-91.87,57.6,45.66,16.22,84.8
394.7,34.69,90.51,290,-13.05,28.0,39.4,30.81,94.12
384.02,15.57,58.92,391,-42.81,66.7,43.57,11.41,86.5
391.94,49.25,79.22,609,53.89,82.6,49.23,40.96,78.8
393.17,38.19,91.42,470,-24.46,74.9,45.08,36.13,81.82
361.9,,28.14,0,-10.41,3.8,25.98,21.99,100.0
378.86,15.84,60.05,541,-66.49,46.1,41.13,9.37,87.79
378.86,27.47,50.76,87,-21.27,10.1,35.31,25.95,93.53
393.57,26.2,78.3,200,-11.56,23.2,36.16,24.42,97.61
376.96,29.88,41.01,980,-61.25,94.7,55.79,22.56,76.21
384.05,45.93,72.35,104,-65.93,13.7,34.95,38.51,93.76
372.06,58.58,43.28,543,-88.4,47.9,,40.14,80.17
356.58,35.36,15.55,682,-44.56,59.3,48.91,32.28,81.14
357.04,53.14,15.18,347,-79.19,67.4,42.95,42.91,83.92
360.94,0.85,16.31,555,-22.46,53.7,46.58,-0.03,87.95
353.91,40.4,8.09,95,-87.42,0.9,32.43,24.96,94.45
381.76,27.5,55.63,292,-47.35,31.3,38.51,24.48,94.28
382.87,54.96,68.83,702,-96.75,49.7,40.36,36.42,83.85
360.74,23.07,17.04,116,28.66,8.4,33.23,24.82,98.15
380.23,37.37,63.13,262,-38.51,33.7,39.51,33.55,92.51
375.38,24.13,61.79,17,-39.04,3.2,31.11,23.18,100.0
356.42,20.53,18.97,47,-4.27,7.5,34.1,21.26,96.54
372.07,43.51,43.39,368,66.51,38.1,41.99,36.01,88.51
394.13,33.25,76.74,22,-35.13,12.7,31.58,27.98,94.51
351.92,63.98,6.59,441,-129.45,54.5,42.8,31.07,79.36
358.97,15.82,18.96,331,30.92,66.2,42.71,15.6,86.49
401.27,68.45,99.6,615,-121.44,76.9,46.83,34.78,72.8
385.55,30.56,74.69,162,-69.79,19.2,34.7,17.23,93.92
373.09,48.8,49.09,221,31.55,16.1,35.09,45.13,89.08
382.63,33.79,64.83,149,-60.11,10.0,28.82,25.44,94.59
391.39,33.18,85.39,503,-74.34,61.1,44.11,23.86,82.42
387.16,40.17,85.02,401,-23.12,67.8,45.0,36.92,83.07
365.97,31.32,35.85,0,-39.42,3.0,30.71,27.48,96.37
377.68,47.22,51.67,522,-81.6,89.9,48.56,35.17,76.45
384.75,25.61,65.62,27,12.66,5.0,29.0,25.01,97.43
359.92,36.48,11.83,624,33.68,52.0,41.42,35.14,82.55
401.19,27.94,94.85,671,43.28,68.1,45.86,27.24,84.69
370.35,39.49,46.11,759,-6.89,83.6,46.51,36.67,79.21
367.88,49.35,40.23,728,-82.06,68.6,47.48,39.51,78.98
393.48,43.06,91.17,975,-115.32,77.0,49.61,12.15,76.85
357.66,70.0,16.24,429,-179.01,32.6,39.58,31.58,82.47
352.5,48.17,8.73,775,21.99,78.2,48.36,46.3,76.66
384.51,36.85,70.08,0,-28.33,7.7,27.26,34.18,100.0
368.17,56.51,41.58,716,-65.13,85.9,48.09,50.0,71.91
391.17,66.97,77.63,305,-156.0,52.6,41.31,18.72,77.33
352.91,55.01,11.51,786,-110.99,78.5,51.18,30.58,70.62
367.74,70.0,41.46,382,-145.93,43.4,39.79,32.88,76.52
365.24,29.13,27.36,408,46.51,61.8,43.85,22.73,86.33
389.8,13.23,75.26,351,-1.86,50.5,40.72,15.64,89.0
362.62,70.0,26.58,667,-118.36,70.2,46.77,49.7,75.63
376.86,42.55,48.5,100,58.1,7.8,30.56,39.22,94.44
393.79,47.94,82.79,0,-83.33,5.8,30.81,33.58,97.78
401.68,29.54,91.96,148,-19.04,23.7,33.81,28.48,95.9
389.02,33.93,73.65,39,-18.9,15.3,35.44,29.4,97.09
378.01,37.22,45.78,825,-45.63,83.7,49.45,34.28,80.4
379.86,48.86,59.34,181,-58.19,21.0,35.32,42.42,89.74
389.46,23.33,70.52,967,-37.96,93.7,51.59,20.93,81.14
398.32,38.87,88.12,142,-56.8,32.3,35.87,29.06,92.68
394.28,24.4,89.41,257,-25.05,17.5,33.17,24.3,98.7
394.66,18.91,93.44,502,-22.67,75.8,45.25,17.43,86.67
389.47,31.49,82.02,517,-71.45,63.2,46.6,21.86,86.54
360.72,31.22,18.95,629,26.07,47.8,43.37,30.16,86.2
384.56,41.31,76.03,325,-90.22,53.3,42.9,25.01,86.08
389.83,31.02,82.39,563,-16.59,69.0,45.56,28.27,85.31
397.79,,88.4,272,-60.36,21.9,37.48,35.25,87.92
398.43,53.75,92.86,1161,-92.14,95.6,57.6,39.55,64.66
369.63,57.98,53.37,812,-56.65,93.6,53.58,50.0,70.95
379.62,50.91,67.23,717,-79.65,62.4,48.44,35.71,78.12
359.43,22.51,5.91,234,-0.48,19.2,36.19,21.83,95.93
383.25,45.57,59.41,486,-45.67,65.3,43.8,39.03,85.01
373.23,25.88,49.95,21,42.15,6.9,28.42,24.82,99.21
393.74,40.88,96.42,7,-97.08,2.9,28.99,21.01,94.63
391.58,70.0,90.66,268,-171.81,24.7,37.17,34.23,83.83
391.91,41.41,80.77,263,-16.31,44.4,41.51,42.14,88.31
361.14,27.4,10.41,602,63.36,83.4,49.5,21.94,81.81
377.34,33.67,43.19,676,-10.67,69.8,46.61,31.15,80.98
380.83,50.36,71.12,648,-96.54,71.3,46.32,32.56,82.68
353.02,37.91,7.82,184,-101.38,40.8,38.04,18.51,92.02
361.13,23.23,27.4,286,81.55,33.2,39.06,13.69,93.62
395.07,20.82,89.31,226,-62.76,35.6,37.67,13.97,89.17
354.67,59.75,17.33,787,-100.89,94.8,51.1,40.79,69.27
353.3,21.73,9.88,134,31.43,3.9,30.22,23.36,95.37
377.48,25.3,60.16,1078,-48.83,83.2,51.84,21.7,77.53
399.03,70.0,94.91,407,-161.64,55.6,41.01,31.18,80.78
390.6,56.13,84.29,436,84.97,42.1,40.55,41.01,82.95
397.69,13.13,97.6,699,-4.94,69.6,45.81,16.35,83.03
389.83,44.06,76.58,194,-130.7,46.7,37.83,9.12,84.82
378.2,48.04,46.55,885,43.75,83.8,52.8,42.76,75.53
403.81,54.51,94.93,377,-102.87,86.5,47.91,33.14,76.82
374.13,39.88,45.53,455,-106.48,40.5,44.02,17.27,89.13
368.86,39.52,38.26,265,-93.5,26.6,37.31,23.62,89.64
377.74,30.48,47.58,452,76.37,56.9,40.23,17.98,87.54
394.67,49.26,82.33,590,82.72,87.6,45.96,34.4,76.38
398.74,49.41,92.18,135,-72.88,20.2,34.64,38.23,90.23
364.75,45.96,38.98,461,62.34,59.8,43.48,34.69,84.53
378.08,70.0,48.91,534,-177.22,60.6,43.94,29.66,73.99
396.25,29.61,90.34,519,14.84,70.4,43.38,31.78,85.02
352.05,27.43,9.47,154,41.85,12.6,31.52,20.58,96.93
387.72,24.86,79.47,368,50.39,68.7,46.14,23.56,87.61
375.82,29.77,48.15,1026,-35.39,87.3,55.39,28.06,76.74
362.85,23.46,40.77,221,-6.04,17.2,35.33,25.23,97.44
373.35,41.59,47.46,295,-83.03,22.8,37.62,28.01,86.82
370.42,14.52,44.78,1207,-38.49,93.3,53.76,11.82,76.51
386.17,39.87,76.88,146,-49.85,17.4,34.7,36.81,93.53
395.21,25.1,93.16,390,-53.3,82.0,44.9,17.28,86.74
371.41,8.23,51.69,546,28.08,47.3,45.04,6.92,85.64
395.21,24.75,84.11,244,-27.1,23.7,36.97,20.85,97.53
380.88,31.09,74.53,688,61.59,83.6,46.33,25.84,84.47
368.72,47.28,36.41,486,-25.12,42.7,38.83,48.18,84.41
377.85,37.64,60.79,671,91.48,49.4,43.96,23.11,85.56
390.12,33.4,68.35,263,33.63,34.5,35.98,30.1,89.81
353.68,38.79,7.23,603,-45.21,56.9,46.8,31.21,84.87
364.94,13.99,42.62,47,-29.52,15.7,29.12,12.85,96.2
401.29,38.66,99.3,210,-90.4,37.5,37.6,26.95,91.12
379.49,28.15,65.54,1019,-30.39,93.1,50.97,25.36,75.54
371.33,49.75,36.75,193,-98.95,24.8,34.89,28.84,92.17
366.23,33.33,28.75,578,39.82,63.0,42.76,32.23,86.2
366.87,44.99,24.9,214,-60.62,31.2,36.68,36.51,93.77
372.14,21.75,43.16,721,-18.66,74.3,46.52,19.44,83.2
364.14,70.0,23.36,10,-176.88,12.6,30.6,32.83,85.27
359.05,29.23,17.84,995,-56.03,93.1,56.05,20.72,77.52
368.02,29.02,39.59,231,-62.3,43.6,37.94,18.9,96.83
384.53,45.37,62.66,61,15.26,22.7,28.53,45.53,92.7
355.76,,18.91,63,-8.65,7.1,31.36,9.87,99.43
354.5,27.68,9.21,69,21.1,16.3,35.96,22.83,97.86
352.44,29.27,8.29,597,-13.44,49.9,44.18,30.22,84.59
367.73,26.62,30.4,175,33.83,32.4,38.45,22.01,93.97
358.69,30.43,23.06,468,-14.85,79.6,45.4,29.5,85.7
376.89,42.34,56.23,506,-122.57,41.4,42.54,14.57,87.48
374.28,10.03,48.29,207,-45.42,23.9,34.74,9.55,93.97
372.39,24.28,35.85,322,-42.33,59.2,42.75,19.26,86.55
390.5,70.0,84.19,213,-235.91,67.9,44.65,29.52,76.47
375.28,48.62,52.97,172,-100.99,16.0,31.97,26.28,91.26
352.8,43.61,13.7,113,82.5,16.1,29.95,34.36,93.99
363.6,20.43,33.1,0,-56.47,3.5,29.69,13.75,96.95
399.97,25.89,97.47,638,-46.32,70.7,47.64,22.24,85.87
